date,day,menu,temp_c,holiday,attendees
2010-02-11,Thursday,Idli Sambar,29,No,496
2010-02-12,Friday,Paneer Butter Masala,36,Yes,429
2010-02-13,Saturday,White Sauce Pasta,30,No,511
2010-02-14,Sunday,Paneer Butter Masala,36,Yes,486
2010-02-15,Monday,Aloo Paratha,35,No,440
2010-02-16,Tuesday,Chole Bhature,29,No,641
2010-02-17,Wednesday,Dal Khichdi,32,No,458
2010-02-18,Thursday,White Sauce Pasta,38,No,467
2010-02-19,Friday,Pav Bhaji,34,No,461
2010-02-20,Saturday,Biryani,35,No,591
2010-02-21,Sunday,Biryani,37,No,563
2010-02-22,Monday,Idli Sambar,35,No,397
2010-02-23,Tuesday,Dal Makhani,29,No,510
2010-02-24,Wednesday,Paneer Butter Masala,36,No,576
2010-02-25,Thursday,Chole Bhature,33,No,557
2010-02-26,Friday,Biryani,38,Yes,428
2010-02-27,Saturday,Khichdi,34,No,423
2010-02-28,Sunday,Khichdi,30,No,425
2010-03-01,Monday,Poori Bhaji,33,No,513
2010-03-02,Tuesday,White Sauce Pasta,33,No,495
2010-03-03,Wednesday,Poori Bhaji,29,No,511
2010-03-04,Thursday,Dal Khichdi,28,No,409
2010-03-05,Friday,Paneer Butter Masala,38,No,562
2010-03-06,Saturday,Paneer Butter Masala,36,Yes,371
2010-03-07,Sunday,Veg Fried Rice,34,No,516
2010-03-08,Monday,Dal Khichdi,35,No,428
2010-03-09,Tuesday,Idli Sambar,36,Yes,264
2010-03-10,Wednesday,Idli Sambar,32,No,472
2010-03-11,Thursday,Biryani,32,Yes,496
2010-03-12,Friday,White Sauce Pasta,29,No,506
2010-03-13,Saturday,Dal Khichdi,32,No,446
2010-03-14,Sunday,Dal Makhani,36,Yes,399
2010-03-15,Monday,Paneer Butter Masala,35,Yes,435
2010-03-16,Tuesday,White Sauce Pasta,28,Yes,310
2010-03-17,Wednesday,Paneer Butter Masala,32,No,566
2010-03-18,Thursday,Pasta,37,No,442
2010-03-19,Friday,Chole Bhature,33,Yes,373
2010-03-20,Saturday,Poori Bhaji,28,No,524
2010-03-21,Sunday,Veg Fried Rice,36,No,498
2010-03-22,Monday,Maggi,29,No,393
2010-03-23,Tuesday,White Sauce Pasta,38,No,414
2010-03-24,Wednesday,Khichdi,31,No,378
2010-03-25,Thursday,Paneer Butter Masala,31,No,583
2010-03-26,Friday,White Sauce Pasta,33,No,490
2010-03-27,Saturday,Maggi,32,Yes,216
2010-03-28,Sunday,Maggi,31,No,404
2010-03-29,Monday,Dal Makhani,35,No,567
2010-03-30,Tuesday,Aloo Paratha,36,No,496
2010-03-31,Wednesday,Maggi,36,Yes,138
2010-04-01,Thursday,Maggi,30,No,387
2010-04-02,Friday,Pasta,29,No,452
2010-04-03,Saturday,White Sauce Pasta,31,No,491
2010-04-04,Sunday,Idli Sambar,36,No,440
2010-04-05,Monday,Chole Bhature,35,Yes,439
2010-04-06,Tuesday,Idli Sambar,38,No,389
2010-04-07,Wednesday,Veg Fried Rice,37,No,524
2010-04-08,Thursday,Aloo Paratha,36,No,499
2010-04-09,Friday,Paneer Butter Masala,33,No,566
2010-04-10,Saturday,Rajma Chawal,28,No,516
2010-04-11,Sunday,Pav Bhaji,38,No,453
2010-04-12,Monday,Maggi,29,Yes,199
2010-04-13,Tuesday,Pav Bhaji,29,No,528
2010-04-14,Wednesday,Veg Fried Rice,33,No,567
2010-04-15,Thursday,White Sauce Pasta,36,No,464
2010-04-16,Friday,Dal Makhani,28,No,579
2010-04-17,Saturday,Pav Bhaji,34,Yes,343
2010-04-18,Sunday,Maggi,34,No,335
2010-04-19,Monday,Paneer Butter Masala,33,No,564
2010-04-20,Tuesday,Poori Bhaji,35,No,475
2010-04-21,Wednesday,Chole Bhature,32,No,627
2010-04-22,Thursday,Biryani,31,No,583
2010-04-23,Friday,Pav Bhaji,32,Yes,367
2010-04-24,Saturday,Biryani,35,Yes,487
2010-04-25,Sunday,Maggi,38,No,357
2010-04-26,Monday,Pav Bhaji,30,No,509
2010-04-27,Tuesday,Aloo Paratha,29,No,538
2010-04-28,Wednesday,Pav Bhaji,29,No,495
2010-04-29,Thursday,Maggi,35,No,322
2010-04-30,Friday,Pav Bhaji,36,Yes,269
2010-05-01,Saturday,Idli Sambar,37,No,484
2010-05-02,Sunday,Rajma Chawal,32,No,512
2010-05-03,Monday,Chole Bhature,28,No,634
2010-05-04,Tuesday,Idli Sambar,32,No,490
2010-05-05,Wednesday,Khichdi,36,No,449
2010-05-06,Thursday,Aloo Paratha,31,No,488
2010-05-07,Friday,Pasta,34,No,453
2010-05-08,Saturday,Paneer Butter Masala,29,No,619
2010-05-09,Sunday,Dal Makhani,28,Yes,434
2010-05-10,Monday,Maggi,34,No,319
2010-05-11,Tuesday,Maggi,34,No,376
2010-05-12,Wednesday,Khichdi,29,No,371
2010-05-13,Thursday,Dal Khichdi,35,No,483
2010-05-14,Friday,Dal Khichdi,38,No,438
2010-05-15,Saturday,Maggi,34,No,359
2010-05-16,Sunday,Veg Fried Rice,30,No,479
2010-05-17,Monday,Chole Bhature,32,No,611
2010-05-18,Tuesday,Chole Bhature,38,Yes,450
2010-05-19,Wednesday,Dal Makhani,31,No,541
2010-05-20,Thursday,Paneer Butter Masala,34,No,566
2010-05-21,Friday,Rajma Chawal,35,No,562
2010-05-22,Saturday,Aloo Paratha,36,Yes,393
2010-05-23,Sunday,Idli Sambar,37,Yes,277
2010-05-24,Monday,Dal Khichdi,35,No,448
2010-05-25,Tuesday,Maggi,29,No,377
2010-05-26,Wednesday,Dal Khichdi,38,No,414
2010-05-27,Thursday,Paneer Butter Masala,33,No,583
2010-05-28,Friday,Khichdi,30,No,408
2010-05-29,Saturday,Biryani,37,No,636
2010-05-30,Sunday,Rajma Chawal,30,No,547
2010-05-31,Monday,Khichdi,31,No,430
2010-06-01,Tuesday,Rajma Chawal,30,No,548
2010-06-02,Wednesday,Pav Bhaji,37,No,506
2010-06-03,Thursday,Dal Khichdi,36,No,389
2010-06-04,Friday,Maggi,28,No,352
2010-06-05,Saturday,Chole Bhature,38,No,539
2010-06-06,Sunday,Pav Bhaji,35,No,457
2010-06-07,Monday,Aloo Paratha,32,No,508
2010-06-08,Tuesday,Rajma Chawal,28,No,499
2010-06-09,Wednesday,Dal Makhani,37,No,569
2010-06-10,Thursday,White Sauce Pasta,36,No,417
2010-06-11,Friday,Rajma Chawal,28,Yes,400
2010-06-12,Saturday,Dal Makhani,32,Yes,386
2010-06-13,Sunday,Aloo Paratha,29,No,479
2010-06-14,Monday,Pasta,35,No,431
2010-06-15,Tuesday,Dal Makhani,28,No,525
2010-06-16,Wednesday,Rajma Chawal,28,No,564
2010-06-17,Thursday,Dal Khichdi,28,No,479
2010-06-18,Friday,Pav Bhaji,33,No,513
2010-06-19,Saturday,Poori Bhaji,38,No,483
2010-06-20,Sunday,White Sauce Pasta,33,No,425
2010-06-21,Monday,Chole Bhature,31,Yes,454
2010-06-22,Tuesday,Dal Khichdi,33,No,393
2010-06-23,Wednesday,Rajma Chawal,34,No,523
2010-06-24,Thursday,Pasta,28,Yes,365
2010-06-25,Friday,Veg Fried Rice,34,No,550
2010-06-26,Saturday,Biryani,30,No,578
2010-06-27,Sunday,Biryani,28,No,606
2010-06-28,Monday,Aloo Paratha,33,No,442
2010-06-29,Tuesday,Dal Khichdi,28,No,468
2010-06-30,Wednesday,Paneer Butter Masala,36,No,630
2010-07-01,Thursday,Paneer Butter Masala,37,No,601
2010-07-02,Friday,White Sauce Pasta,31,No,436
2010-07-03,Saturday,White Sauce Pasta,30,No,504
2010-07-04,Sunday,Maggi,31,No,351
2010-07-05,Monday,Aloo Paratha,35,No,476
2010-07-06,Tuesday,Poori Bhaji,37,No,515
2010-07-07,Wednesday,White Sauce Pasta,35,No,502
2010-07-08,Thursday,Dal Khichdi,36,No,466
2010-07-09,Friday,Maggi,33,Yes,149
2010-07-10,Saturday,White Sauce Pasta,29,No,510
2010-07-11,Sunday,Paneer Butter Masala,30,No,609
2010-07-12,Monday,Maggi,34,Yes,183
2010-07-13,Tuesday,Maggi,31,No,345
2010-07-14,Wednesday,Khichdi,33,No,432
2010-07-15,Thursday,White Sauce Pasta,37,No,500
2010-07-16,Friday,Poori Bhaji,33,Yes,293
2010-07-17,Saturday,Pasta,30,No,474
2010-07-18,Sunday,Pav Bhaji,29,Yes,393
2010-07-19,Monday,Maggi,31,No,368
2010-07-20,Tuesday,Idli Sambar,29,No,461
2010-07-21,Wednesday,Rajma Chawal,36,Yes,400
2010-07-22,Thursday,Biryani,28,No,611
2010-07-23,Friday,White Sauce Pasta,38,No,408
2010-07-24,Saturday,Dal Makhani,35,No,576
2010-07-25,Sunday,Chole Bhature,32,No,576
2010-07-26,Monday,Rajma Chawal,28,No,537
2010-07-27,Tuesday,Paneer Butter Masala,34,No,628
2010-07-28,Wednesday,Aloo Paratha,29,No,451
2010-07-29,Thursday,Idli Sambar,30,No,447
2010-07-30,Friday,Poori Bhaji,35,No,447
2010-07-31,Saturday,Dal Khichdi,31,No,492
2010-08-01,Sunday,Khichdi,33,No,401
2010-08-02,Monday,Poori Bhaji,38,No,452
2010-08-03,Tuesday,White Sauce Pasta,37,No,456
2010-08-04,Wednesday,Idli Sambar,38,Yes,305
2010-08-05,Thursday,Biryani,30,No,634
2010-08-06,Friday,Biryani,33,No,611
2010-08-07,Saturday,Pav Bhaji,34,No,517
2010-08-08,Sunday,Dal Makhani,28,No,592
2010-08-09,Monday,Pasta,35,Yes,286
2010-08-10,Tuesday,Chole Bhature,36,No,564
2010-08-11,Wednesday,Dal Khichdi,32,No,489
2010-08-12,Thursday,Aloo Paratha,33,Yes,325
2010-08-13,Friday,Pav Bhaji,34,Yes,415
2010-08-14,Saturday,Pasta,38,No,450
2010-08-15,Sunday,Maggi,36,No,396
2010-08-16,Monday,Aloo Paratha,33,No,517
2010-08-17,Tuesday,Chole Bhature,35,No,553
2010-08-18,Wednesday,Pasta,29,No,462
2010-08-19,Thursday,Pav Bhaji,33,No,530
2010-08-20,Friday,White Sauce Pasta,29,No,531
2010-08-21,Saturday,White Sauce Pasta,32,No,460
2010-08-22,Sunday,Idli Sambar,35,No,455
2010-08-23,Monday,Veg Fried Rice,34,No,520
2010-08-24,Tuesday,Dal Khichdi,37,Yes,235
2010-08-25,Wednesday,Rajma Chawal,32,No,559
2010-08-26,Thursday,White Sauce Pasta,30,No,431
2010-08-27,Friday,Maggi,28,Yes,309
2010-08-28,Saturday,Rajma Chawal,38,No,513
2010-08-29,Sunday,Chole Bhature,34,Yes,453
2010-08-30,Monday,Dal Khichdi,31,Yes,349
2010-08-31,Tuesday,Paneer Butter Masala,30,Yes,406
2010-09-01,Wednesday,Paneer Butter Masala,37,Yes,535
2010-09-02,Thursday,Dal Khichdi,34,Yes,341
2010-09-03,Friday,Idli Sambar,29,Yes,224
2010-09-04,Saturday,Idli Sambar,32,No,487
2010-09-05,Sunday,Dal Khichdi,29,No,460
2010-09-06,Monday,Rajma Chawal,28,No,499
2010-09-07,Tuesday,White Sauce Pasta,30,No,478
2010-09-08,Wednesday,Poori Bhaji,36,No,490
2010-09-09,Thursday,Pav Bhaji,35,No,461
2010-09-10,Friday,White Sauce Pasta,30,No,504
2010-09-11,Saturday,Paneer Butter Masala,35,No,563
2010-09-12,Sunday,Maggi,34,Yes,180
2010-09-13,Monday,Chole Bhature,38,No,548
2010-09-14,Tuesday,Poori Bhaji,33,No,501
2010-09-15,Wednesday,Rajma Chawal,35,Yes,367
2010-09-16,Thursday,Pasta,36,Yes,327
2010-09-17,Friday,Pasta,36,Yes,301
2010-09-18,Saturday,Rajma Chawal,31,No,531
2010-09-19,Sunday,White Sauce Pasta,31,No,514
2010-09-20,Monday,Paneer Butter Masala,34,No,642
2010-09-21,Tuesday,Biryani,30,No,654
2010-09-22,Wednesday,Veg Fried Rice,28,No,484
2010-09-23,Thursday,White Sauce Pasta,34,No,426
2010-09-24,Friday,Chole Bhature,35,No,557
2010-09-25,Saturday,White Sauce Pasta,36,No,453
2010-09-26,Sunday,Khichdi,38,Yes,172
2010-09-27,Monday,Poori Bhaji,38,No,465
2010-09-28,Tuesday,Khichdi,32,No,372
2010-09-29,Wednesday,Aloo Paratha,37,No,478
2010-09-30,Thursday,Dal Makhani,28,Yes,443
2010-10-01,Friday,Poori Bhaji,35,No,509
2010-10-02,Saturday,Dal Makhani,29,No,579
2010-10-03,Sunday,Khichdi,31,No,444
2010-10-04,Monday,Khichdi,30,No,451
2010-10-05,Tuesday,Rajma Chawal,28,No,518
2010-10-06,Wednesday,Veg Fried Rice,29,Yes,322
2010-10-07,Thursday,Paneer Butter Masala,34,No,560
2010-10-08,Friday,Dal Khichdi,30,No,426
2010-10-09,Saturday,Chole Bhature,35,No,595
2010-10-10,Sunday,Biryani,29,No,601
2010-10-11,Monday,Veg Fried Rice,29,No,489
2010-10-12,Tuesday,Poori Bhaji,31,No,503
2010-10-13,Wednesday,Biryani,30,Yes,532
2010-10-14,Thursday,Pasta,33,No,455
2010-10-15,Friday,Pasta,37,No,434
2010-10-16,Saturday,Maggi,32,No,373
2010-10-17,Sunday,Biryani,33,Yes,442
2010-10-18,Monday,Poori Bhaji,33,No,483
2010-10-19,Tuesday,Idli Sambar,31,No,458
2010-10-20,Wednesday,White Sauce Pasta,37,No,488
2010-10-21,Thursday,Pav Bhaji,32,No,509
2010-10-22,Friday,Rajma Chawal,30,No,534
2010-10-23,Saturday,Pav Bhaji,33,No,559
2010-10-24,Sunday,Aloo Paratha,32,Yes,339
2010-10-25,Monday,Poori Bhaji,38,No,432
2010-10-26,Tuesday,Paneer Butter Masala,36,No,636
2010-10-27,Wednesday,Veg Fried Rice,33,No,565
2010-10-28,Thursday,Paneer Butter Masala,32,Yes,434
2010-10-29,Friday,Khichdi,30,No,406
2010-10-30,Saturday,Biryani,33,Yes,393
2010-10-31,Sunday,Idli Sambar,32,No,502
2010-11-01,Monday,Khichdi,36,No,351
2010-11-02,Tuesday,Idli Sambar,37,No,474
2010-11-03,Wednesday,Dal Makhani,38,No,494
2010-11-04,Thursday,Rajma Chawal,36,No,553
2010-11-05,Friday,Dal Khichdi,31,Yes,295
2010-11-06,Saturday,Aloo Paratha,31,No,494
2010-11-07,Sunday,Aloo Paratha,34,No,483
2010-11-08,Monday,Poori Bhaji,29,No,533
2010-11-09,Tuesday,Pasta,34,No,458
2010-11-10,Wednesday,White Sauce Pasta,33,Yes,338
2010-11-11,Thursday,White Sauce Pasta,38,No,464
2010-11-12,Friday,Paneer Butter Masala,30,No,644
2010-11-13,Saturday,Pav Bhaji,32,No,500
2010-11-14,Sunday,Biryani,33,No,620
2010-11-15,Monday,Idli Sambar,33,No,497
2010-11-16,Tuesday,White Sauce Pasta,36,No,436
2010-11-17,Wednesday,Aloo Paratha,37,No,429
2010-11-18,Thursday,Maggi,29,No,359
2010-11-19,Friday,Poori Bhaji,30,No,518
2010-11-20,Saturday,Khichdi,37,No,362
2010-11-21,Sunday,Idli Sambar,33,No,461
2010-11-22,Monday,Idli Sambar,29,Yes,293
2010-11-23,Tuesday,Pav Bhaji,28,No,504
2010-11-24,Wednesday,Veg Fried Rice,28,Yes,393
2010-11-25,Thursday,White Sauce Pasta,35,No,502
2010-11-26,Friday,Veg Fried Rice,29,No,538
2010-11-27,Saturday,Dal Makhani,29,Yes,370
2010-11-28,Sunday,White Sauce Pasta,34,No,451
2010-11-29,Monday,Maggi,35,No,387
2010-11-30,Tuesday,Aloo Paratha,29,No,483
2010-12-01,Wednesday,Pav Bhaji,34,Yes,281
2010-12-02,Thursday,Pav Bhaji,32,No,537
2010-12-03,Friday,Chole Bhature,35,No,612
2010-12-04,Saturday,Maggi,32,No,369
2010-12-05,Sunday,Aloo Paratha,35,No,476
2010-12-06,Monday,Pav Bhaji,38,No,465
2010-12-07,Tuesday,Pav Bhaji,28,No,524
2010-12-08,Wednesday,Dal Khichdi,31,Yes,351
2010-12-09,Thursday,Idli Sambar,35,No,458
2010-12-10,Friday,Rajma Chawal,38,Yes,357
2010-12-11,Saturday,Rajma Chawal,35,No,533
2010-12-12,Sunday,Pasta,36,No,452
2010-12-13,Monday,Paneer Butter Masala,36,No,570
2010-12-14,Tuesday,Poori Bhaji,37,Yes,334
2010-12-15,Wednesday,Paneer Butter Masala,36,No,552
2010-12-16,Thursday,Pav Bhaji,31,No,466
2010-12-17,Friday,Pasta,33,No,502
2010-12-18,Saturday,Dal Makhani,31,No,532
2010-12-19,Sunday,Pav Bhaji,36,No,489
2010-12-20,Monday,Rajma Chawal,28,No,587
2010-12-21,Tuesday,White Sauce Pasta,28,No,474
2010-12-22,Wednesday,Paneer Butter Masala,37,Yes,476
2010-12-23,Thursday,Pav Bhaji,30,No,506
2010-12-24,Friday,Khichdi,31,No,426
2010-12-25,Saturday,Chole Bhature,38,No,583
2010-12-26,Sunday,Pav Bhaji,30,No,566
2010-12-27,Monday,Pasta,38,No,398
2010-12-28,Tuesday,Dal Khichdi,30,No,420
2010-12-29,Wednesday,Pav Bhaji,35,No,537
2010-12-30,Thursday,Pav Bhaji,29,No,505
2010-12-31,Friday,Paneer Butter Masala,37,No,602
2011-01-01,Saturday,Pasta,35,No,466
2011-01-02,Sunday,Veg Fried Rice,38,Yes,305
2011-01-03,Monday,Khichdi,34,No,361
2011-01-04,Tuesday,Rajma Chawal,36,No,499
2011-01-05,Wednesday,Pasta,30,Yes,312
2011-01-06,Thursday,Rajma Chawal,29,No,544
2011-01-07,Friday,Paneer Butter Masala,37,No,552
2011-01-08,Saturday,Poori Bhaji,31,No,476
2011-01-09,Sunday,White Sauce Pasta,28,No,515
2011-01-10,Monday,Pasta,31,Yes,367
2011-01-11,Tuesday,Rajma Chawal,35,No,513
2011-01-12,Wednesday,Idli Sambar,38,No,428
2011-01-13,Thursday,Aloo Paratha,36,No,461
2011-01-14,Friday,Khichdi,37,No,348
2011-01-15,Saturday,Chole Bhature,38,No,596
2011-01-16,Sunday,Dal Khichdi,36,No,405
2011-01-17,Monday,Veg Fried Rice,32,No,492
2011-01-18,Tuesday,Idli Sambar,32,No,435
2011-01-19,Wednesday,Dal Khichdi,31,No,486
2011-01-20,Thursday,Paneer Butter Masala,36,No,600
2011-01-21,Friday,Dal Makhani,30,No,555
2011-01-22,Saturday,Pav Bhaji,32,No,501
2011-01-23,Sunday,Idli Sambar,33,No,444
2011-01-24,Monday,Veg Fried Rice,37,No,531
2011-01-25,Tuesday,Biryani,35,No,607
2011-01-26,Wednesday,Maggi,34,No,342
2011-01-27,Thursday,Maggi,33,Yes,239
2011-01-28,Friday,Veg Fried Rice,29,No,521
2011-01-29,Saturday,Biryani,31,Yes,517
2011-01-30,Sunday,Maggi,28,No,356
2011-01-31,Monday,White Sauce Pasta,29,No,469
2011-02-01,Tuesday,Veg Fried Rice,35,No,504
2011-02-02,Wednesday,Pav Bhaji,38,No,537
2011-02-03,Thursday,White Sauce Pasta,29,Yes,297
2011-02-04,Friday,Chole Bhature,32,No,632
2011-02-05,Saturday,Biryani,28,No,618
2011-02-06,Sunday,Veg Fried Rice,35,No,538
2011-02-07,Monday,Veg Fried Rice,34,Yes,377
2011-02-08,Tuesday,White Sauce Pasta,30,No,463
2011-02-09,Wednesday,Aloo Paratha,29,No,550
2011-02-10,Thursday,Dal Makhani,32,No,587
2011-02-11,Friday,Poori Bhaji,31,No,505
2011-02-12,Saturday,Dal Khichdi,33,No,396
2011-02-13,Sunday,Paneer Butter Masala,38,No,600
2011-02-14,Monday,Poori Bhaji,29,No,485
2011-02-15,Tuesday,Poori Bhaji,29,Yes,326
2011-02-16,Wednesday,Poori Bhaji,32,No,486
2011-02-17,Thursday,Dal Makhani,28,No,551
2011-02-18,Friday,Aloo Paratha,29,No,458
2011-02-19,Saturday,Dal Makhani,35,No,540
2011-02-20,Sunday,Biryani,30,No,638
2011-02-21,Monday,Dal Makhani,33,Yes,371
2011-02-22,Tuesday,Rajma Chawal,31,No,542
2011-02-23,Wednesday,Poori Bhaji,35,No,465
2011-02-24,Thursday,Poori Bhaji,38,No,456
2011-02-25,Friday,Pasta,30,No,422
2011-02-26,Saturday,Poori Bhaji,29,No,533
2011-02-27,Sunday,Pav Bhaji,33,No,554
2011-02-28,Monday,Dal Makhani,33,No,506
2011-03-01,Tuesday,Biryani,36,No,631
2011-03-02,Wednesday,Maggi,32,No,360
2011-03-03,Thursday,Poori Bhaji,37,Yes,225
2011-03-04,Friday,Aloo Paratha,35,Yes,417
2011-03-05,Saturday,Rajma Chawal,30,Yes,438
2011-03-06,Sunday,Chole Bhature,35,No,595
2011-03-07,Monday,Pav Bhaji,38,Yes,423
2011-03-08,Tuesday,Pav Bhaji,28,No,483
2011-03-09,Wednesday,Dal Khichdi,37,Yes,289
2011-03-10,Thursday,Dal Makhani,29,No,521
2011-03-11,Friday,White Sauce Pasta,35,No,416
2011-03-12,Saturday,Biryani,33,No,619
2011-03-13,Sunday,Chole Bhature,29,No,590
2011-03-14,Monday,Poori Bhaji,29,No,514
2011-03-15,Tuesday,Pasta,29,No,480
2011-03-16,Wednesday,Pasta,32,No,448
2011-03-17,Thursday,Veg Fried Rice,28,No,578
2011-03-18,Friday,Dal Makhani,37,No,500
2011-03-19,Saturday,Poori Bhaji,37,No,443
2011-03-20,Sunday,Veg Fried Rice,29,No,534
2011-03-21,Monday,Rajma Chawal,32,Yes,358
2011-03-22,Tuesday,Biryani,34,No,610
2011-03-23,Wednesday,Maggi,34,No,345
2011-03-24,Thursday,Pav Bhaji,35,No,541
2011-03-25,Friday,Idli Sambar,32,No,479
2011-03-26,Saturday,Pasta,33,No,470
2011-03-27,Sunday,Idli Sambar,28,No,471
2011-03-28,Monday,Pasta,31,No,481
2011-03-29,Tuesday,Rajma Chawal,38,No,497
2011-03-30,Wednesday,Maggi,29,No,390
2011-03-31,Thursday,Rajma Chawal,36,No,549
2011-04-01,Friday,Veg Fried Rice,30,No,478
2011-04-02,Saturday,Veg Fried Rice,29,No,548
2011-04-03,Sunday,Rajma Chawal,30,No,565
2011-04-04,Monday,Paneer Butter Masala,36,No,566
2011-04-05,Tuesday,Veg Fried Rice,36,No,480
2011-04-06,Wednesday,Chole Bhature,34,No,612
2011-04-07,Thursday,Idli Sambar,38,No,446
2011-04-08,Friday,Khichdi,33,No,396
2011-04-09,Saturday,Paneer Butter Masala,31,No,648
2011-04-10,Sunday,Maggi,35,No,357
2011-04-11,Monday,Dal Makhani,38,No,498
2011-04-12,Tuesday,Biryani,38,Yes,509
2011-04-13,Wednesday,Rajma Chawal,31,No,527
2011-04-14,Thursday,Khichdi,38,No,355
2011-04-15,Friday,Veg Fried Rice,31,No,519
2011-04-16,Saturday,White Sauce Pasta,38,Yes,328
2011-04-17,Sunday,Idli Sambar,37,No,433
2011-04-18,Monday,Aloo Paratha,38,No,459
2011-04-19,Tuesday,Rajma Chawal,28,No,505
2011-04-20,Wednesday,Pav Bhaji,30,No,476
2011-04-21,Thursday,Pav Bhaji,29,No,515
2011-04-22,Friday,Idli Sambar,31,No,429
2011-04-23,Saturday,Poori Bhaji,31,Yes,413
2011-04-24,Sunday,Poori Bhaji,28,No,509
2011-04-25,Monday,Paneer Butter Masala,31,No,619
2011-04-26,Tuesday,Biryani,33,No,573
2011-04-27,Wednesday,Rajma Chawal,29,No,509
2011-04-28,Thursday,Veg Fried Rice,33,No,488
2011-04-29,Friday,Maggi,32,No,409
2011-04-30,Saturday,Dal Khichdi,35,No,471
2011-05-01,Sunday,Khichdi,34,No,425
2011-05-02,Monday,Biryani,36,No,602
2011-05-03,Tuesday,Idli Sambar,29,Yes,330
2011-05-04,Wednesday,Pasta,36,Yes,202
2011-05-05,Thursday,Poori Bhaji,37,Yes,355
2011-05-06,Friday,Pasta,35,No,483
2011-05-07,Saturday,Pasta,31,No,429
2011-05-08,Sunday,Khichdi,33,No,421
2011-05-09,Monday,Pasta,38,No,456
2011-05-10,Tuesday,Aloo Paratha,28,No,472
2011-05-11,Wednesday,Dal Makhani,34,No,507
2011-05-12,Thursday,Biryani,34,No,611
2011-05-13,Friday,Poori Bhaji,31,No,520
2011-05-14,Saturday,Biryani,28,No,638
2011-05-15,Sunday,Aloo Paratha,28,No,521
2011-05-16,Monday,White Sauce Pasta,34,No,485
2011-05-17,Tuesday,Idli Sambar,36,No,426
2011-05-18,Wednesday,Poori Bhaji,31,No,517
2011-05-19,Thursday,Dal Makhani,34,No,541
2011-05-20,Friday,Khichdi,31,No,419
2011-05-21,Saturday,Biryani,29,No,671
2011-05-22,Sunday,Idli Sambar,36,No,395
2011-05-23,Monday,Paneer Butter Masala,29,No,611
2011-05-24,Tuesday,Veg Fried Rice,30,No,485
2011-05-25,Wednesday,Chole Bhature,32,No,559
2011-05-26,Thursday,Aloo Paratha,36,No,503
2011-05-27,Friday,Pasta,33,No,503
2011-05-28,Saturday,Dal Khichdi,36,Yes,342
2011-05-29,Sunday,Idli Sambar,34,No,437
2011-05-30,Monday,White Sauce Pasta,31,No,442
2011-05-31,Tuesday,Paneer Butter Masala,28,No,622
2011-06-01,Wednesday,Idli Sambar,37,Yes,273
2011-06-02,Thursday,Maggi,35,No,314
2011-06-03,Friday,Poori Bhaji,35,No,497
2011-06-04,Saturday,Pasta,32,No,462
2011-06-05,Sunday,Paneer Butter Masala,35,Yes,428
2011-06-06,Monday,Biryani,36,Yes,413
2011-06-07,Tuesday,Idli Sambar,38,No,446
2011-06-08,Wednesday,Aloo Paratha,28,No,537
2011-06-09,Thursday,Maggi,32,No,353
2011-06-10,Friday,White Sauce Pasta,31,No,481
